number;title;goal;tipp;description;image;a;b;c1;c2;alltag;bei_der_arbeit;hilfe_holen;kommunikation;reisen;unterhaltung_kultur;unterwegs;zu_hause
47;Filme mit Untertiteln;Filme besser verstehen;Wählen Sie untertitelte Filme für ein besseres Verständnis.;Untertitel helfen, dem Film zu folgen, selbst wenn der Ton schwer zu verstehen.;Kino.jpg;1;1;0;0;0;0;0;0;0;1;0;0
48;Filme mit Untertiteln;Filme besser verstehen;Wählen Sie untertitelte Filme für ein besseres Verständnis.;Untertitel helfen, dem Film zu folgen, selbst wenn der Ton schwer zu verstehen ist oder wenn Sie sich entscheiden, Ihre Hörgeräte nicht zu benutzen.;Kino.jpg;0;0;1;1;0;0;0;0;0;1;0;0
49;Kinobesuche ohne Hörgeräte;Vermeidung von akustischer Überlastung bei Kinobesuchen;Verzichten Sie bei untertitelten Filmen auf Hörgeräte, wenn die Musik stört.;Ohne störende Hintergrundmusik kann sich das Augenmerk ganz auf die visuellen Elemente und Untertitel konzentrieren.;Kino.jpg;0;0;1;1;0;0;0;0;0;1;0;0
50;Filme auf DVD, blu-ray oder Video;Vermeidung von akustischer Überlastung bei Kinobesuchen;Schauen Sie Filme lieber zu Hause, wenn sie Untertitel bieten.;DVDs , Blue-rays oder Videos ermöglichen es Ihnen, Untertitel zu nutzen und das Filmerlebnis in Ihrer eigenen Umgebung anzupassen.;Kino.jpg;1;1;1;1;0;0;0;0;0;1;0;0
51;Untertitel-Brille;Individuelle Untertitel-Anzeige;Nutzen Sie spezielle Brillen, die Untertitel im Kino einblenden.;Diese Brillen projizieren Untertitel direkt in Ihr Sichtfeld, was eine diskrete und persönliche Lösung zum Verfolgen des Filminhalts darstellt.;Kino.jpg;1;1;1;1;0;0;0;0;0;1;0;0
52;Einsatz moderner Technik im Konzert;Steigerung des Hörerlebnisses bie Konzerten;Nutzen Sie moderne Technik wie Induktions- und Funkanlagen in Konzertsälen, um Ihren Hörverlust zu kompensieren.;Induktions- und Funkanlagen in Konzertsälen übertragen die Musik direkt an Ihre Hörgeräte, was die Klangqualität verbessert und Hintergrundgeräusche minimiert.;Konzert.jpg;0;0;1;1;0;0;0;0;0;1;0;0
53;Schutz des Gehörs bei Live-Konzerten;Sicherer Musikgenuss;Halten Sie die Lautstärke und Dauer von lauten Konzerten in Massen, besonders nach einem Hörsturz.;"Zu laute Musik kann das Gehör schädigen. Die Intensität und Dauer der Beschallung sollten kontrolliert werden.
Direkt nach einem Hörsturz (plötzlicher, meist einseitiger Hörverlust ohne erkennbare äussere Ursache) ist das Gehör besonders empfindlich. Laute Geräusche können den Heilungsprozess stören oder weitere Schäden verursachen.";Konzert.jpg;1;1;1;1;0;0;0;0;0;1;0;0
54;Anpassung an kulturelle Umgebungen;Realistische Erwartungshaltung an kulturellen Erlebnisse;Akzeptieren Sie, dass die Raumakustik, Ihre Verfassung und die Darbietungen die Wahrnehmung beeinflussen.;Das Hörerlebnis ist subjektiv und wird von vielen Faktoren beeinflusst. Manchmal liegen die Gründe für eine unbefriedigende Erfahrung ausserhalb Ihrer Kontrolle.;Konzert.jpg;1;1;1;1;0;0;0;0;0;1;0;0
55;Sport trotz Hörverlust;Genuss von Sport trotz Hörverlust;Suchen Sie nach Sportgruppen für Hörgeschädigte oder probieren Sie verschiedene Sportarten aus.;Mit gleichbetroffenen Sportpartnern oder durch das Ausprobieren verschiedener Sportarten finden Sie heraus, was am besten zu Ihren Bedürfnissen passt.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
56;Hörgeräte beim Sport ;Komfort beim Sport verbessern;Wählen Sie Sportarten aus, bei denen Hörgeräte nicht stören oder spezielle Ausrüstung für den Sport nutzen.;Bei manchen Sportarten wie Mannschaftssport in der Halle können Hörgeräte durch Akustik und Körperkontakt störend sein. Alternativen oder spezielle Ausrüstungen (wie bspw. Feuchtigkeits- und Stossschutz für Hörgeräte oder Knochenleitungshörgeräte) können helfen.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
57;Hörgeräte beim Sport richtig tragen;Druck- und Rückkopplungseffekte beim Sport vermeiden;Achten Sie auf den richtigen Sitz Ihrer Hörgeräte, um Druck- und Rückkopplungseffekte zu minimieren.;Unbequemlichkeiten durch Druck auf die Hörgeräte bei körperlicher Anstrengung können reduziert werden, indem man den Sitz und die Passform überprüft.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
58;Hörgeräte vor Feuchtigkeit schützen;Langlebigkeit der Hörgeräte sicherstellen;Wählen Sie Hörgeräte, die gegen Schweiss resistent sind, besonders wenn Sport eine wichtige Rolle spielt.;Wenn Sie oft Sport treiben, ist es wichtig, Hörgeräte zu wählen, die gegen Schweiss und Feuchtigkeit geschützt sind.;schwimmen.jpg;0;0;1;1;0;0;0;0;0;0;0;0
59;Schwimmen mit Hörgeräten;Schwimmen mit Hörhilfen ermöglichen;Nutzen Sie wasserdichte Hörgeräte, um auch im Wasser nicht auf Hörhilfen verzichten zu müssen.;Moderne Hörgeräte, die Oberflächennässe vertragen, ermöglichen das Schwimmen ohne Verzicht auf das Hören.;schwimmen.jpg;0;0;1;1;0;0;0;0;0;0;0;0
60;Wintersport mit Hörgeräten;Rückkopplung beim Wintersport vermeiden;Wählen Sie eine passende Kopfbedeckung, die keine Rückkopplung bei Ihren Hörgeräten verursacht.;Um beim Wintersport unangenehme Rückkopplungsgeräusche zu vermeiden, sollte die Kopfbedeckung nicht zu eng sitzen.;skifahren.jpg;0;0;1;1;0;0;0;0;0;0;0;0
61;Sicherheit beim Alpinsport;Vorsicht bei schnellen Sportarten sicherstellen;Seien Sie bei schnellen Sportarten wie Ski oder Snowboard aufgrund des eingeschränkten Hörens besonders achtsam.;Bei Sportarten mit hoher Geschwindigkeit muss man wegen des reduzierten Hörvermögens besonders auf visuelle Hinweise achten.;skifahren.jpg;0;1;1;1;0;0;0;0;0;0;0;0
62;Empfohlene Sportarten;Die passende Sportart wählen;Erkunden Sie ruhigere Sportarten, die weniger akustische Orientierung benötigen.;Sportarten wie Qigong, Tai-Chi, Wandern oder Golf sind gut geeignet, da sie weniger von akustischen Signalen abhängen und ein geringeres Verletzungsrisiko bieten.;yoga.jpg;1;1;1;1;0;0;0;0;0;0;0;0
63;Reisen mit Hörgeräten;Reisen und Mobilität erleichtern;Nutzen Sie Hörgeräte, um unterwegs besser hören zu können.;Hörgeräte verbessern das Hörvermögen und ermöglichen es Ihnen, wichtige Umgebungsgeräusche wie Durchsagen bei Bahnfahrten oder Flügen wahrzunehmen.;Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;0;0
64;Gruppenreisen für Hörgeschädigte;Soziale Interaktion und Sicherheit beim Reisen;Schliessen Sie sich Gruppenreisen an, die speziell für Hörgeschädigte organisiert werden.;Gruppenreisen bieten die Möglichkeit, gemeinsam mit anderen Betroffenen zu verreisen, was das Sicherheitsgefühl erhöht und den Austausch mit Gleichgesinnten ermöglicht.;Flughafen.jpg;0;1;1;1;0;0;0;0;1;0;0;0
65;Spezialreisen für Hörgeschädigte;Zugeschnittene Reiseerfahrungen;Erkundigen Sie sich nach Spezialreisen, die auf die Bedürfnisse von Hörgeschädigten ausgerichtet sind.;Spezialisierte Anbieter organisieren Reisen, die auf die besonderen Bedürfnisse von Hörgeschädigten abgestimmt sind, mit entsprechender Betreuung und Unterstützung.;Flughafen.jpg;0;1;1;1;0;0;0;0;1;0;0;0
66;Hörgeräte und Strassenverkehr;Hörgeräte dem Strassenverkehr anpassen;Bei der Anpassung von Hörgeräten sollte der Strassenverkehr laut, aber erträglich eingestellt werden.;Da der Strassenverkehr anfangs überwältigend laut erscheinen kann, ist eine sorgfältige Einstellung der Hörgeräte erforderlich, um Sicherheit zu gewährleisten, ohne zu überfordern.;Verkehr.jpg;0;0;1;1;1;0;0;0;1;0;1;0
67;Sicherheit im Strassenverkehr;Verbesserte Wahrnehmung und Sicherheit;Achten Sie auf verstärkte visuelle Wahrnehmung, da das Richtungshören eingeschränkt sein könnte.;Aufgrund des eingeschränkten Richtungshörens müssen hörgeschädigte Personen mehr Informationen visuell aufnehmen, um sicher am Strassenverkehr teilzunehmen.;Verkehr.jpg;0;1;1;1;1;0;0;0;1;0;1;0
68;Vorsicht an Kreuzungen;Unfälle vermeiden;Seien Sie an Kreuzungen besonders aufmerksam und achten Sie auf abbiegende Fahrzeuge.;Kreuzungen stellen ein erhöhtes Risiko dar, da herannahende Fahrzeuge oft zu spät akustisch wahrgenommen werden.;Verkehr.jpg;1;1;1;1;1;0;0;0;1;0;1;0
69;Umgang mit Fahrrädern;Gefahrenbewusstsein erhöhen;Seien Sie sich der Gefahr durch (klingelnde) Fahrräder, besonders von hinten, bewusst.;Da Fahrräder oft leise sind und schnell herannahen, ist besondere Aufmerksamkeit erforderlich, um Kollisionen zu vermeiden.;Verkehr.jpg;1;1;1;1;1;0;0;0;1;0;1;0
70;Fahrradfahren mit Hörbeeinträchtigung;Sicherheit beim Radfahren richtig bewerten;Die Entscheidung, Fahrrad zu fahren, sollte von individuellen Fähigkeiten und den örtlichen Gegebenheiten abhängig gemacht werden.;Faktoren wie das Ausmass der Hörbeeinträchtigung, Gleichgewichtsfähigkeit, Verkehrsdichte und Fahrradwegnetz sollten bei der Entscheidung, Rad zu fahren, berücksichtigt werden.;Verkehr.jpg;0;1;1;1;1;0;0;0;1;0;1;0
71;Autofahren mit Hörbeeinträchtigung;Konzentration und Kommunikation erhöhen;Als Fahrer mit Hörschädigung sollten Sie Ihre Mitfahrer über Ihre erhöhten Anforderungen informieren.;Eine offene Kommunikation mit Mitfahrern kann Ablenkungen reduzieren und die notwendige erhöhte Konzentration beim Fahren unterstützen.;Autofahren.jpg;0;1;1;1;1;0;0;0;1;0;1;0
72;Technische Hilfen im Auto;Verbesserung der Kommunikation beim Autofahren;Nutzen Sie technische Lösungen, um die Kommunikation im Auto zu erleichtern, wie z.B. Verstärkungssysteme.;Technische Hilfsmittel können Gespräche im Auto verbessern. Eine Beratung durch Fachleute kann dabei helfen, die geeigneten Systeme zu finden.;Autofahren.jpg;1;1;1;1;1;0;0;0;1;0;1;0
73;Umgang mit unsichtbarem Handicap im Strassenverkehr;Bewusstsein für Umgebungsreaktionen;Seien Sie sich bewusst, dass andere Verkehrsteilnehmer Ihr Handicap nicht erkennen können.;Da Ihr Handicap aufgrund Ihrer Hörbeeinträchtigung nicht sichtbar ist, gehen andere Verkehrsteilnehmer möglicherweise davon aus, dass Sie akustische Signale wahrnehmen können, was jedoch eingeschränkt sein könnte.;Autofahren.jpg;0;1;1;1;1;0;0;0;1;0;1;0
74;Die richtige Fahrzeugwahl;Angenehmes Fahrerlebnis sicherstellen;Achten Sie bei der Neuanschaffung eines Fahrzeugs auf die Lautstärke des Fahrzeugs (Motor, Gebläse, etc.) und auf die akustischen Signale wie  Blinker, Lichtwarntöne und Alarmsignale beim Einparken oder Rückwärtsfahren.;Ein leises Fahrzeuginterieur ermöglicht es die vorhandenen Hörkapazitäten optimal zu nutzen. Die Erkennung der akustischen Signale ist essenziell, um auf potenzielle Gefahren beim Fahren adäquat reagieren zu können.;Autofahren.jpg;1;1;1;1;1;0;0;0;1;0;1;0
75;Kommunikation im Fahrzeug;Klare Kommunikation während der Fahrt;Prüfen Sie, ob die Freisprechanlage eine klare Kommunikation ermöglicht und ob Gespräche gut übertragbar sind.;Die Qualität der Freisprechanlage ist besonders wichtig um während der Fahrt effektiv kommunizieren zu können.;Autofahren.jpg;1;1;1;1;1;0;0;1;1;0;1;0
76;Informationszugang in öffentlichen Verkehrsmitteln;Bessere Orientierung in öffentlichen Verkehrsmitteln;Nutzen Sie visuelle Informationsquellen wie Anzeigetafeln, LCD-Anzeigen oder Bildschirme in öffentlichen Verkehrsmitteln, um akustische Durchsagen zu ergänzen.;Da Durchsagen oft undeutlich sind, bietet die visuelle Ergänzung durch Anzeigetafeln und Bildschirme eine wichtige Informationsquelle. Dies erleichtert das Verständnis von Routenänderungen und Ankündigungen in öffentlichen Verkehrsmitteln.;bahnhof.jpg;1;0;0;0;0;0;0;0;1;0;1;0
77;Informationszugang in öffentlichen Verkehrsmitteln;Bessere Orientierung in öffentlichen Verkehrsmitteln;Nutzen Sie visuelle Informationsquellen wie Anzeigetafeln, LCD-Anzeigen oder Bildschirme in öffentlichen Verkehrsmitteln, um akustische Durchsagen zu ergänzen.;Da Durchsagen oft undeutlich sind, bietet die visuelle Ergänzung durch Anzeigetafeln und Bildschirme eine wichtige Informationsquelle für Hörgeschädigte. Dies erleichtert das Verständnis von Routenänderungen und Ankündigungen in öffentlichen Verkehrsmitteln.;bahnhof.jpg;0;1;1;1;0;0;0;0;1;0;1;0
78;Proaktive Kommunikation im öffentlichen Verkehr;Unterstützung durch Mitreisende;Scheuen Sie sich nicht, Mitreisende um Hilfe zu bitten.;Wenn Sie Schwierigkeiten haben, Lautsprecherdurchsagen zu verstehen, können Sie sich durch Schriftkommunikation mit anderen Passagieren oder dem Personal helfen lassen.;bahnhof.jpg;1;1;1;1;0;0;0;0;1;0;1;0
79;Proaktive Kommunikation im öffentlichen Verkehr;Unterstützung durch Mitreisende;Scheuen Sie sich nicht, Mitreisende um Hilfe zu bitten.;Wenn Sie Schwierigkeiten haben, Lautsprecherdurchsagen zu verstehen, können Sie sich durch Schriftkommunikation mit anderen Passagieren oder dem Personal helfen lassen.;bahnhof.jpg;1;0;0;0;0;0;0;0;1;0;1;0
80;Proaktive Kommunikation im öffentlichen Verkehr;Unterstützung durch Mitreisende;Seien Sie mutig, fragen Sie nach, und teilen Sie ihnen mit, dass Sie ein Hörproblem haben.;"Wenn Sie Schwierigkeiten haben, Lautsprecherdurchsagen zu verstehen, können Sie sich durch Schriftkommunikation mit anderen Passagieren oder dem Personal helfen lassen.
Das Einholen von Hilfe bei anderen Personen kann eine effektive Strategie sein, um in Echtzeit Informationen zu erhalten, da viele Menschen bereit sind zu helfen, wenn sie über das Hörproblem informiert sind.";bahnhof.jpg;0;1;1;1;0;0;0;0;1;0;1;0
81;Vergünstigungen bei öffentlichen Verkehrsmitteln;Nutzung von Vergünstigungen;Prüfen Sie die Möglichkeiten einer Ermässigung mit einem zweifarbigen Schwerbehindertenausweis im ÖPNV oder bei der Kfz-Steuer.;Personen mit einem Schwerbehindertenausweis können Vergünstigungen im öffentlichen Verkehr erhalten. Informieren Sie sich bei Beratungsstellen für Hörgeschädigte oder den zuständigen Ämtern.;bahnhof.jpg;0;1;1;1;0;0;0;0;1;0;1;0
82;Informationsbeschaffung;Besserer Zugang zu Vergünstigungen;Informieren Sie sich beim Landesamt für Soziales über zustehende Vergünstigungen.;Umfassende Information und Beratung helfen dabei, alle zur Verfügung stehenden Ressourcen und Unterstützungsmöglichkeiten auszuschöpfen.;bahnhof.jpg;1;0;0;0;0;0;0;0;1;0;1;0
83;Informationsbeschaffung;Besserer Zugang zu Vergünstigungen;Informieren Sie sich bei Beratungsstellen für Hörgeschädigte oder dem Landesamt für Soziales über zustehende Vergünstigungen.;Umfassende Information und Beratung helfen dabei, alle zur Verfügung stehenden Ressourcen und Unterstützungsmöglichkeiten auszuschöpfen.;bahnhof.jpg;0;1;1;1;0;0;0;0;1;0;1;0
84;Navigation an Bahnhöfen;Aktuelle Reiseinformationen auf Bahnsteigen und Bahnhöfen;Nutzen Sie den Service der Bahn um Informationen über Pünktlichkeit und Bahnhofspläne zu erhalten. Registrieren Sie sich für E-Mail- oder SMS-Updates der Bahn, um über Fahrplanänderungen informiert zu werden.;Eine Anmeldung bei digitalen Diensten sichert Ihnen rechtzeitige Informationen bei Änderungen, die für eine problemlose Reiseplanung entscheidend sind.;bahnhof.jpg;1;0;0;0;0;0;0;0;1;0;1;0
85;Navigation an Bahnhöfen für Hörgeschädigte;Aktuelle Reiseinformationen auf Bahnsteigen und Bahnhöfen;Nutzen Sie den Service der Bahn für Hörgeschädigte, um Informationen über Pünktlichkeit und Bahnhofspläne zu erhalten. Registrieren Sie sich für E-Mail- oder SMS-Updates der Bahn, um über Fahrplanänderungen informiert zu werden.;Die speziellen Dienste bieten Zugriff auf visuelle Informationen und Updates, die helfen, akustische Verständnisprobleme auf Bahnhöfen zu umgehen.;bahnhof.jpg;0;1;1;1;0;0;0;0;1;0;1;0
86;Informationen auf Flügen;Zugang zu visuellen Fluginformationen;Nutzen Sie die Monitore für Fluginformationen und bleiben Sie in Kontakt mit dem Bordpersonal.;Die Monitore an Bord bieten eine stetige Quelle visueller Informationen, und das Flugpersonal ist für persönliche Unterstützung verfügbar, was die Kommunikation erleichtert.;Flughafen.jpg;1;1;1;1;0;0;0;0;1;0;1;0
87;Sicherheitskontrolle bei Flugreisen;Reibungslos durch die Sicherheitskontrolle;Packen Sie Zusatzgeräte sichtbar ein und seien Sie bereit, diese bei der Sicherheitskontrolle zu erklären.;Offenheit und Transparenz bei der Sicherheitskontrolle verhindern Missverständnisse und erleichtern den Prozess, falls Unklarheiten über Ihre Zusatzgeräte bestehen.;Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;1;0
88;Umgang mit Implantaten bei Flugreisen;Vermeidung von Komplikationen bei Flugreisen;Informieren Sie sich vorab über Bestimmungen zu Implantaten und führen Sie immer Ihren Implantat-Ausweis mit.;Eine vorherige Abklärung mit Ihrem Arzt und das Mitführen eines Implantat-Ausweises verhindern Probleme an Sicherheitsschleusen und sorgen für ein reibungsloses Passieren.;Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;1;0
89;Elektronische Interferenzen;Umgang mit Interferenzen an Bord;Seien Sie darauf vorbereitet, Ihre Hörgeräte bei Interferenzen abzuschalten.;"Das Wissen um potenzielle elektromagnetische Interferenzen  hilft, vorbereitet zu sein und notfalls auf alternative Kommunikationsmittel zurückzugreifen.
Interferenzen bei Hörgeräten treten auf, wenn elektromagnetische Wellen von externen Quellen wie Mobiltelefonen, Computern oder anderen elektronischen Geräten die Funktionsweise des Hörgeräts stören. Diese Interferenzen können sich durch Rauschen, Verzerrungen oder ein unerwünschtes Pfeifen im Hörgerät bemerkbar machen, was die Klangqualität und die Verständlichkeit für den Nutzer beeinträchtigt.";Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;1;0
90;Druckausgleich bei Flugreisen;Komfortables Reisen trotz Druckveränderungen;Verwenden Sie Mittel zum Druckausgleich wie Lutschbonbons oder Kaugummi.;Bonbons und Kaugummi helfen beim Druckausgleich im Ohr, was bei den Druckveränderungen während des Fluges wichtig ist.;Flughafen.jpg;1;1;0;0;0;0;0;0;1;0;1;0
91;Druckausgleich bei Flugreisen;Komfortables Reisen trotz Druckveränderungen;Verwenden Sie Mittel zum Druckausgleich wie Lutschbonbons oder Kaugummi. Entwfernen Sie bei Beschwerden die Hörgeräte.;Bonbons und Kaugummi helfen beim Druckausgleich im Ohr, was besonders für Hörgeräteträger bei den Druckveränderungen während des Fluges wichtig ist. Sollten diese Massnahmen nicht helfen, kann das Herausnehmen der Hörgeräte Druck und Unbehagen vermindern.;Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;1;0
92;Reise-Checkliste;Für einen entspannten Reisebeginn sorgen;"Aufbewahrungsbox für die Hörgeräte
Eventuell Ersatzhörgeräte
Trockenbox
Reinigungsset mit Desinfektionsmittel bei Reisen ins subtropische Klima
Batterien oder Akku-Ladegeräten für die Hörgeräte und die sonstigen Zusatzgeräte, die Sie mitnehmen
Handy für SMS und auch zum Wecken mithilfe von Licht oder Vibration

Bei starken Hörproblemen: kleine Funkanlagen für Gesprächspartner
Aufkleber und Hinweiskarte mit Hörgeschädigtensymbol - auch in der Gastlandsprache, den Schwerbehindertenausweis
Zettel und Stift griffbereit oder eine „Zaubertafel”";Einge gute Vorbereitung sorgt für einen entspannten Reisebeginn. ;Flughafen.jpg;0;0;1;1;0;0;0;0;1;0;1;0
93;Sicherheit bei Sirenen und Alarm;Bewusstsein für Alarme stärken;Nutzen Sie spezialisierte Alarmierungssysteme, die auch Lichtsignale senden.;Da Hörgeschädigte Sirenen und Alarmsignale möglicherweise nicht hören können, sind Systeme, die visuelle Signale wie Licht verwenden, essenziell, um auf potenzielle Gefahren aufmerksam zu machen.;sirenen.jpg;0;1;1;1;1;1;1;0;0;0;1;1
94;Schutz in der Öffentlichkeit;Persönliche Sicherheit im Freien erhöhen;Bevorzugen Sie gut beleuchtete Wege und nutzen Sie tragbare Alarmanlagen oder eine Trillerpfeife.;Eine gute Beleuchtung macht andere Personen sichtbarer und mindert das Risiko, überrascht zu werden. Tragbare Alarmanlagen oder einfache Trillerpfeifen können als Abschreckung und zur Alarmierung bei Überfällen dienen.;schutz.jpg;1;1;1;1;1;0;1;0;1;0;1;0
95;Erkennung von Feueralarmen;Wahrnehmung von Feueralarmen verbessern;Sorgen Sie für Feuer- und Rauchmelder, die auch Lichtsignale abgeben.;Standard-Feuermelder sind oft akustisch und daher für Hörgeschädigte im Schlaf nicht effektiv. Systeme, die Lichtsignale aussenden, können lebensrettend sein, da sie die Aufmerksamkeit visuell erregen.;sirenen.jpg;0;1;1;1;1;1;1;0;0;0;0;1
96;Anpassung des Arbeitsumfeldes;Schaffung eines hörgerechten Arbeitsplatzes;Fragen Sie nach organisatorischen Änderungen, um die Geräuschbelastung am Arbeitsplatz zu reduzieren und die Kommunikation zu erleichtern.;Ein Arbeitsplatz, der auf Ihre Höranforderungen abgestimmt ist, kann Stress reduzieren und Ihre Produktivität sowie das Wohlbefinden am Arbeitsplatz steigern.;Arbeit.jpg;0;1;1;1;0;1;0;0;0;0;0;0
97;Unterstützung durch Kollegen bei der Arbeit;Förderung des Verständnisses und der Kooperation am Arbeitsplatz;Gewinnen Sie Ihre Kollegen dafür, an hörgerechten Lösungen mitzuarbeiten und sich in Ihre Situation einzufühlen.;Einfühlsame Kollegen, die Ihre Situation verstehen, können wesentlich zur Verbesserung Ihres Arbeitsalltags beitragen, indem sie Kommunikationshürden abbauen.;Arbeit.jpg;0;1;1;1;0;1;0;0;0;0;0;0
98;Offene Kommunikation bei der Arbeit;Vermeidung von Missverständnissen am Arbeitsplatz;Teilen Sie Ihren Kollegen mit, welche Herausforderungen Sie mit Ihrer Hörbeeinträchtigung haben.;Eine offene Kommunikation über Ihre Hörprobleme hilft, Missverständnisse zu klären und ein gegenseitiges Verständnis zu schaffen, das Spannungen am Arbeitsplatz vorbeugt und die Zusammenarbeit verbessert.;Arbeit.jpg;0;1;1;1;0;1;0;1;0;0;0;0
99;Einbindung in die Arbeitsgemeinschaft;Stärkung des Zugehörigkeitsgefühls im Team;Erklären Sie, dass der informelle Austausch für Sie herausfordernd sein kann und Sie manchmal Informationen verpassen.;Dieses Bewusstsein bei Ihren Kollegen hilft dabei, ein Umfeld zu schaffen, in dem bewusst auf eine inklusive Kommunikation geachtet wird, damit Sie sich integriert und nicht ausgeschlossen fühlen. Dadurch kann ein stärkeres Gemeinschaftsgefühl und gegenseitiges Vertrauen am Arbeitsplatz entstehen.;Arbeit.jpg;0;1;1;1;0;1;0;1;0;0;0;0
100;Umgang mit Distanzgefühl;Überwindung des Gefühls von Isolation am Arbeitsplatz;Sprechen Sie über das Gefühl der Distanz und das Risiko, sich ausgeschlossen zu fühlen, um Unterstützung und Verständnis zu finden.;Wenn Kollegen verstehen, dass die Distanz, die durch Kommunikationsschwierigkeiten entsteht, schmerzhaft und isolierend sein kann, können sie empathischer reagieren und sicherstellen, dass Sie in alle relevanten Gespräche einbezogen werden und sich wertgeschätzt fühlen.;Gespräch.jpg;0;1;1;1;0;0;0;1;0;0;0;0
