Nummer;Titel;Ziel;Tipp;Erklärung
1; Aufwachen mit Licht & Vibration ; Pünktliches Aufstehen ; Nutze Lichtwecker oder Rüttelkissen. ; Bei starker Hörschädigung helfen Lichtblitze oder Vibrationen, um dich zu wecken. 
2; Türklingel-Alternativen ; Verpasse keinen Besucher ; Kombiniere Klingelton mit Licht- oder Vibration.; Ein Licht- oder Vibrationssender kann das Türklingeln sicht- oder fühlbar machen. 
3; Mehrzimmer-Überwachung ; Immer informiert bleiben ; Nutze handliche Signalanlagen. ; Überwache mehrere Zimmer gleichzeitig und erkenne, woher Signale kommen. 
4; Nicht-akustische Ankündigung ; Überraschungen vermeiden ; Verwende Lichtsignale oder Berührungen. ; Informiere dich über das Betreten deines Zimmers durch Lichtsignale oder leichte Berührungen. 
5; Küchengeräte mit Sicht ; Verpasse keine Küchensignale ; Wähle Geräte mit optischen Signalen. ; Optische Signale bei Küchengeräten helfen, wenn akustische Signale überhört werden. 
6; Zeige dein Handicap ; Verständnis fördern ; Trage das Hörgeschädigten-Symbol. ; Ein sichtbares Symbol kann in vielen Situationen für Verständnis sorgen. 
7; Kommunikationstools ; Immer bereit für Notizen ; Hab immer Papier, Stift oder Handy dabei. ; Für unerwartete Kommunikationsschwierigkeiten bist du so immer gewappnet. 
8; Hörgeräte & Friseur ; Schütze deine Hörgeräte ; Nimm Hörgeräte beim Friseur heraus. ; Hitze und Feuchtigkeit beim Friseur können Hörgeräten schaden. 
9; Türsummer-Hilfe ; Immer sicher ins Haus ; Nutze optische Signale oder Vibration. ; Bei lauten Straßenverhältnissen helfen optische Signale oder Vibrationen beim Türöffnen. 
10; Kultur barrierefrei ; Genieße kulturelle Veranstaltungen ; Suche nach Orten mit Ringschleifen oder Funk. ; Viele Orte bieten Technik für Hörgeschädigte, um das Erlebnis zu verbessern. 
11; Museumsführungen ; Verstehe Museumsführungen besser ; Nutze Audio-Guides oder induktive Hilfsmittel. ; Klare Artikulation und Wiederholungsmöglichkeiten erleichtern das Verstehen. 
12; Video-Guides ; Visuelle Museumsführung ; Nutze Video-Guides mit Gebärdensprache. ; Eine visuelle Führung durchs Museum kann das Erlebnis für Hörgeschädigte bereichern. 
13; Kino mit Untertiteln ; Filme besser verstehen ; Nutze spezielle Brillen für Untertitel. ; Eine Brille, die Untertitel einblendet, kann das Kinoerlebnis verbessern. 
14; Kinotipps ; Genieße Filme trotz Hörschädigung ; Wähle untertitelte Filme oder Induktionsschleifen-Kinos.; Bestimmte Kinos und Filme sind besser geeignet für Menschen mit Hörschädigung. 
15; Musikgenuss ; Musik trotz Hörschädigung genießen ; Nutze Induktions- oder Funkanlagen. ; Technische Hilfsmittel können das Musikerlebnis für Hörgeschädigte verbessern. 
16; Sport mit Hörgeräten ; Bleibe aktiv und sicher ; Wähle sportliche Aktivitäten, die Hörgeräte-freundlich sind.; Viele Sportarten sind auch mit Hörgeräten möglich, einige erfordern besondere Vorsicht. 
17; Schwimmen & Hörgeräte ; Schütze deine Hörgeräte im Wasser ; Nutze spezielle Schutzkappen. ; Schutzkappen verhindern, dass Wasser in die Hörgeräte eindringt. 
18; Reisen mit Hörschädigung ; Reise sicher und informiert ; Plane im Voraus und informiere dich über barrierefreie Angebote.; Vorbereitung und Information sind der Schlüssel zu einer erfolgreichen Reise. 
19; Flughafen-Hilfe ; Stressfrei fliegen ; Nutze den Service für Menschen mit Behinderungen.; Flughäfen bieten oft spezielle Dienstleistungen für Menschen mit Behinderungen an. 
20; Hotel-Tipps ; Übernachte komfortabel ; Wähle Hotels mit barrierefreien Zimmern. ; Viele Hotels bieten Zimmer an, die speziell für Menschen mit Hörschädigung ausgestattet sind. 